车牌号,交叉口,start,end,count
AB31AAEI,经中路-环北路,2024-05-04 10:57:47.237,2024-05-04 11:48:29.233,3
AB32956H,环西路-纬中路,2024-05-02 10:36:04.277,2024-05-02 10:36:10.484,3
AB3458CI,环西路-纬中路,2024-05-04 20:46:49.515,2024-05-04 21:10:19.961,5
AB3458CI,环西路-纬中路,2024-05-04 20:47:26.893,2024-05-04 21:10:19.961,4
AB3458CI,环西路-纬中路,2024-05-04 21:10:14.594,2024-05-04 21:10:19.961,3
AB3458CI,环西路-纬中路,2024-05-05 12:48:10.435,2024-05-05 13:05:43.203,4
AB3458CI,环西路-纬中路,2024-05-05 12:48:15.766,2024-05-05 13:05:43.203,3
AB34676J,环西路-纬中路,2024-05-01 19:04:09.436,2024-05-01 19:08:46.836,3
AB34A7BK,经中路-环北路,2024-05-02 07:36:54.975,2024-05-02 08:31:43.409,3
AB34ER8,环西路-纬中路,2024-05-04 18:51:04.880,2024-05-04 19:50:13.215,3
AB34FP8,环西路-纬中路,2024-05-02 15:28:09.099,2024-05-02 16:11:37.821,3
AB354ACH,环西路-纬中路,2024-05-03 07:53:00.800,2024-05-03 07:53:04.629,3
AB354ACH,环西路-纬中路,2024-05-03 17:16:55.742,2024-05-03 18:07:07.971,3
AB35859H,经中路-纬中路,2024-05-03 19:33:14.000,2024-05-03 20:00:28.000,3
AB35958I,环西路-纬中路,2024-05-03 16:50:42.951,2024-05-03 16:52:09.518,3
AB378A8M,环西路-纬中路,2024-05-01 19:37:28.096,2024-05-01 20:35:11.001,3
AB388DBH,经中路-纬中路,2024-05-03 17:58:52.000,2024-05-03 18:46:04.000,4
AB388DBH,经中路-纬中路,2024-05-03 18:15:21.000,2024-05-03 18:46:04.000,3
AB38A87J,环西路-纬中路,2024-05-04 14:22:55.825,2024-05-04 14:25:50.317,3
AB3925N,纬中路-景区出入口,2024-05-01 09:23:25.271,2024-05-01 09:29:22.982,3
AB3955BI,环西路-纬中路,2024-05-04 21:48:06.088,2024-05-04 21:50:13.370,3
AB39756N,环西路-纬中路,2024-05-01 20:27:18.846,2024-05-01 20:49:54.681,3
AB39CB8J,环西路-纬中路,2024-05-04 13:18:37.641,2024-05-04 14:05:14.775,3
AB39DA6J,环西路-纬中路,2024-05-05 11:00:04.493,2024-05-05 11:02:01.959,3
AB3A4P1,环西路-纬中路,2024-05-04 12:57:41.704,2024-05-04 13:05:48.101,4
AB3A4P1,环西路-纬中路,2024-05-04 12:57:44.936,2024-05-04 13:05:48.101,3
AB3A5B7H,环西路-纬中路,2024-05-02 12:43:40.882,2024-05-02 13:05:59.245,5
AB3A5B7H,环西路-纬中路,2024-05-02 12:43:47.415,2024-05-02 13:05:59.245,4
AB3A5B7H,环西路-纬中路,2024-05-02 12:52:20.983,2024-05-02 13:05:59.245,3
AB3A641,纬中路-景区出入口,2024-05-03 16:49:31.285,2024-05-03 17:02:57.672,4
AB3A641,纬中路-景区出入口,2024-05-03 16:50:40.481,2024-05-03 17:02:57.672,3
AB3A9CAK,环东路-纬中路,2024-05-05 13:04:19.254,2024-05-05 13:21:17.668,3
AB3AADEH,环西路-纬中路,2024-05-05 18:12:18.984,2024-05-05 18:30:44.412,3
AB3AW76,经中路-纬中路,2024-05-03 08:57:50.000,2024-05-03 09:21:21.000,3
AB3B556I,环西路-纬中路,2024-05-02 07:02:17.174,2024-05-02 07:02:20.054,3
AB3B6D9J,环西路-纬中路,2024-05-04 10:08:33.005,2024-05-04 10:24:11.291,7
AB3B6D9J,环西路-纬中路,2024-05-04 10:08:41.858,2024-05-04 10:24:11.291,6
AB3B6D9J,环西路-纬中路,2024-05-04 10:11:31.133,2024-05-04 10:24:11.291,5
AB3B6D9J,环西路-纬中路,2024-05-04 10:11:39.295,2024-05-04 10:24:11.291,4
AB3B6D9J,环西路-纬中路,2024-05-04 10:24:01.367,2024-05-04 10:24:11.291,3
AB3BC59J,环西路-纬中路,2024-05-02 21:37:47.466,2024-05-02 21:50:25.941,3
AB3BC59J,环西路-纬中路,2024-05-03 17:26:59.225,2024-05-03 17:32:19.107,3
AB3BD6DJ,环西路-纬中路,2024-05-01 16:26:01.514,2024-05-01 16:46:57.599,4
AB3BD6DJ,环西路-纬中路,2024-05-01 16:26:05.292,2024-05-01 16:46:57.599,3
AB3BLFC,纬中路-景区出入口,2024-05-05 12:11:51.343,2024-05-05 12:24:28.982,4
AB3BLFC,纬中路-景区出入口,2024-05-05 12:14:58.848,2024-05-05 12:24:28.982,3
AB3BZA2,环西路-纬中路,2024-05-03 19:56:21.535,2024-05-03 20:47:48.534,3
AB3C0X7,环西路-纬中路,2024-05-01 01:43:44.310,2024-05-01 01:46:48.539,4
AB3C0X7,环西路-纬中路,2024-05-01 01:43:56.667,2024-05-01 01:46:48.539,3
AB3C0X7,环西路-纬中路,2024-05-01 16:15:40.215,2024-05-01 16:20:55.619,3
AB3C0X7,环西路-纬中路,2024-05-05 01:52:35.100,2024-05-05 01:58:05.804,3
AB3CDQJ,纬中路-景区出入口,2024-05-04 11:04:18.345,2024-05-04 11:11:20.745,3
AB3DBBEM,环西路-纬中路,2024-05-01 08:39:37.206,2024-05-01 08:45:28.629,3
AB3DBBEM,经中路-纬中路,2024-05-03 07:01:38.000,2024-05-03 07:27:21.000,3
AB3E6EFN,环西路-纬中路,2024-05-04 20:46:57.560,2024-05-04 21:10:37.839,3
AB3GA77I,环西路-纬中路,2024-05-01 16:48:33.220,2024-05-01 17:05:45.378,3
AB3GA77I,环西路-纬中路,2024-05-03 14:19:44.527,2024-05-03 14:29:17.808,3
AB3H78FI,环西路-纬中路,2024-05-01 18:30:48.877,2024-05-01 19:07:12.294,4
AB3H78FI,环西路-纬中路,2024-05-01 18:30:55.211,2024-05-01 19:07:12.294,3
AB3H9BFI,环西路-纬中路,2024-05-05 17:40:44.850,2024-05-05 18:35:20.968,3
AB3I678K,环西路-纬中路,2024-05-02 20:57:13.522,2024-05-02 21:12:17.892,3
AB3I678K,环西路-纬中路,2024-05-03 16:12:30.739,2024-05-03 16:16:23.454,3
AB3IDEEI,经中路-环北路,2024-05-02 15:48:48.090,2024-05-02 16:06:24.521,3
AB3K4BQ,环西路-纬中路,2024-05-01 17:44:47.487,2024-05-01 18:07:21.067,6
AB3K4BQ,环西路-纬中路,2024-05-01 17:44:56.927,2024-05-01 18:07:21.067,5
AB3K4BQ,环西路-纬中路,2024-05-01 17:54:26.315,2024-05-01 18:07:21.067,4
AB3K4BQ,环西路-纬中路,2024-05-01 17:54:33.206,2024-05-01 18:07:21.067,3
AB3K9EEI,环西路-纬中路,2024-05-03 13:04:15.187,2024-05-03 13:49:13.855,4
AB3K9EEI,环西路-纬中路,2024-05-03 13:05:18.440,2024-05-03 13:49:13.855,3
AB3KB69I,经中路-纬中路,2024-05-05 09:34:12.000,2024-05-05 10:13:12.000,3
AB3KB69I,环西路-纬中路,2024-05-05 09:59:07.294,2024-05-05 10:07:58.175,3
AB3M49DK,环西路-纬中路,2024-05-04 18:38:14.227,2024-05-04 19:02:05.432,3
AB3M49DK,经中路-纬中路,2024-05-04 18:45:09.000,2024-05-04 18:57:27.000,3
AB3M6Z6,经中路-纬中路,2024-05-03 19:47:36.000,2024-05-03 20:38:53.000,4
AB3M6Z6,经中路-纬中路,2024-05-03 20:00:34.000,2024-05-03 20:38:53.000,3
AB3M6Z6,纬中路-景区出入口,2024-05-03 20:02:39.563,2024-05-03 20:41:41.819,3
AB3MCD9H,环西路-纬中路,2024-05-04 08:06:30.862,2024-05-04 08:17:16.673,3
AB3N49EH,环西路-纬中路,2024-05-02 20:11:45.375,2024-05-02 20:16:08.488,3
AB3N5BDH,环西路-纬中路,2024-05-05 13:00:14.559,2024-05-05 13:07:51.261,3
AB3N9OE,环西路-纬中路,2024-05-04 14:53:53.712,2024-05-04 15:18:06.983,3
AB3NCA9H,环西路-纬中路,2024-05-02 20:39:15.166,2024-05-02 20:45:02.204,4
AB3NCA9H,环西路-纬中路,2024-05-02 20:39:19.887,2024-05-02 20:45:02.204,3
AB3NCA9H,环西路-纬中路,2024-05-03 13:57:07.707,2024-05-03 14:01:52.079,4
AB3NCA9H,环西路-纬中路,2024-05-03 13:57:10.958,2024-05-03 14:01:52.079,3
AB3O536,环西路-纬中路,2024-05-02 15:40:54.031,2024-05-02 16:26:19.099,3
AB3OKB7,经中路-纬中路,2024-05-03 10:35:00.000,2024-05-03 11:03:38.000,3
AB3OKB7,经中路-纬中路,2024-05-03 10:55:50.000,2024-05-03 11:42:53.000,3
AB3OKB7,经中路-纬中路,2024-05-03 11:03:38.000,2024-05-03 12:01:54.000,3
AB3OKB7,经中路-纬中路,2024-05-03 11:42:53.000,2024-05-03 12:05:01.000,3
AB3P6AFM,环西路-纬中路,2024-05-04 10:57:23.451,2024-05-04 11:50:00.302,3
AB3QD56H,环西路-纬中路,2024-05-03 13:52:39.321,2024-05-03 14:35:22.680,3
AB3S5BDI,环西路-纬中路,2024-05-01 20:25:54.719,2024-05-01 21:11:22.096,8
AB3S5BDI,环西路-纬中路,2024-05-01 20:25:58.721,2024-05-01 21:11:22.096,7
AB3S5BDI,环西路-纬中路,2024-05-01 20:38:02.056,2024-05-01 21:11:22.096,6
AB3S5BDI,环西路-纬中路,2024-05-01 20:38:12.801,2024-05-01 21:11:22.096,5
AB3S5BDI,环西路-纬中路,2024-05-01 21:08:26.984,2024-05-01 21:11:22.096,4
AB3S5BDI,环西路-纬中路,2024-05-01 21:08:37.756,2024-05-01 21:11:22.096,3
AB3S6ECI,环西路-纬中路,2024-05-05 10:57:55.959,2024-05-05 11:11:12.127,3
AB3T9DAH,环西路-纬中路,2024-05-02 09:30:49.644,2024-05-02 09:39:11.495,3
AB3TBC8,纬中路-景区出入口,2024-05-03 07:52:49.255,2024-05-03 08:00:46.438,3
AB3TBDEH,环西路-纬中路,2024-05-01 20:06:04.906,2024-05-01 20:06:10.282,3
AB3TDAEH,环西路-纬中路,2024-05-05 21:03:10.329,2024-05-05 21:27:21.866,3
AB3U466H,环西路-纬中路,2024-05-03 12:49:41.613,2024-05-03 12:53:36.772,3
AB3U7D3,环西路-纬中路,2024-05-02 11:48:36.094,2024-05-02 11:50:10.228,3
AB3V67DK,环西路-纬中路,2024-05-05 09:04:09.295,2024-05-05 09:08:57.758,3
AB3V78DK,纬中路-景区出入口,2024-05-02 07:00:28.755,2024-05-02 07:52:22.484,3
AB3V78DK,纬中路-景区出入口,2024-05-02 07:52:22.484,2024-05-02 08:34:56.372,3
AB3VD79H,环西路-纬中路,2024-05-01 00:30:00.697,2024-05-01 01:01:56.346,4
AB3VD79H,环西路-纬中路,2024-05-01 00:38:43.754,2024-05-01 01:01:56.346,3
AB3VD79H,环西路-纬中路,2024-05-01 01:01:56.346,2024-05-01 01:57:54.894,7
AB3VD79H,环西路-纬中路,2024-05-01 01:47:45.435,2024-05-01 01:57:54.894,6
AB3VD79H,环西路-纬中路,2024-05-01 01:47:51.567,2024-05-01 01:57:54.894,5
AB3VD79H,环西路-纬中路,2024-05-01 01:56:07.717,2024-05-01 01:57:54.894,4
AB3VD79H,环西路-纬中路,2024-05-01 01:56:10.512,2024-05-01 01:57:54.894,3
AB3VD79H,环西路-纬中路,2024-05-01 12:08:39.503,2024-05-01 12:56:51.966,3
AB3VD79H,环西路-纬中路,2024-05-02 23:51:12.676,2024-05-03 00:41:56.731,9
AB3VD79H,环西路-纬中路,2024-05-02 23:54:55.161,2024-05-03 00:41:56.731,8
AB3VD79H,环西路-纬中路,2024-05-02 23:55:00.550,2024-05-03 00:41:56.731,7
AB3VD79H,环西路-纬中路,2024-05-03 00:19:05.785,2024-05-03 01:07:27.778,9
AB3VD79H,环西路-纬中路,2024-05-03 00:23:29.123,2024-05-03 01:07:27.778,8
AB3VD79H,环西路-纬中路,2024-05-03 00:27:08.793,2024-05-03 01:07:27.778,7
AB3VD79H,环西路-纬中路,2024-05-03 00:37:57.372,2024-05-03 01:07:27.778,6
AB3VD79H,环西路-纬中路,2024-05-03 00:37:59.834,2024-05-03 01:07:27.778,5
AB3VD79H,环西路-纬中路,2024-05-03 00:41:56.731,2024-05-03 01:07:27.778,4
AB3VD79H,环西路-纬中路,2024-05-03 01:00:45.588,2024-05-03 01:07:27.778,3
AB3VD79H,环西路-纬中路,2024-05-03 12:43:30.901,2024-05-03 13:36:34.135,4
AB3VD79H,环西路-纬中路,2024-05-03 12:43:37.050,2024-05-03 13:36:34.135,3
AB3VD79H,环西路-纬中路,2024-05-03 23:43:09.886,2024-05-04 00:19:07.292,5
AB3VD79H,环西路-纬中路,2024-05-03 23:43:28.283,2024-05-04 00:19:07.292,4
AB3VD79H,环西路-纬中路,2024-05-04 00:07:00.499,2024-05-04 01:00:47.998,5
AB3VD79H,环西路-纬中路,2024-05-04 00:09:23.911,2024-05-04 01:00:47.998,4
AB3VD79H,环西路-纬中路,2024-05-04 00:19:07.292,2024-05-04 01:00:47.998,3
