车牌号,交叉口,start,end,repeat_count,low_speed_count
AB2858FH,经中路-环北路,2024-05-04 09:18:18.097,2024-05-04 10:20:09.150,3,3
AB287E6J,经中路-纬中路,2024-05-03 17:29:01.000,2024-05-03 18:55:49.000,3,4
AB29CVT,环西路-纬中路,2024-05-01 23:14:10.033,2024-05-01 23:50:42.304,3,1
AB2A4B9H,环西路-纬中路,2024-05-01 13:35:31.052,2024-05-01 14:27:31.874,3,1
AB2BLBD,纬中路-景区出入口,2024-05-03 17:15:32.631,2024-05-03 17:58:18.462,3,4
AB2C4EAN,经五路-纬中路,2024-05-02 12:46:31.674,2024-05-02 13:41:27.381,3,1
AB2C7CDK,经一路-纬中路,2024-05-02 10:35:38.476,2024-05-02 11:15:52.342,3,1
AB2CADDI,环西路-纬中路,2024-05-03 11:17:47.890,2024-05-03 12:07:27.063,4,3
AB2CADDI,环西路-纬中路,2024-05-03 11:17:55.681,2024-05-03 12:07:27.063,3,3
AB2CDA8K,环西路-纬中路,2024-05-01 21:40:35.132,2024-05-01 22:28:18.508,3,2
AB2D567I,环西路-纬中路,2024-05-05 14:40:40.815,2024-05-05 15:32:13.606,4,2
AB2D567I,环西路-纬中路,2024-05-05 14:40:43.912,2024-05-05 15:32:13.606,3,2
AB2F58BM,环西路-纬中路,2024-05-02 17:37:39.117,2024-05-02 19:00:11.081,4,2
AB2F58BM,环西路-纬中路,2024-05-02 17:38:32.334,2024-05-02 19:00:11.081,3,2
AB2F58BM,经中路-纬中路,2024-05-02 17:46:04.000,2024-05-02 18:55:13.000,3,2
AB2F75AK,环西路-纬中路,2024-05-03 12:07:34.611,2024-05-03 12:51:35.811,3,2
AB2F95CI,环西路-纬中路,2024-05-01 10:28:19.425,2024-05-01 11:03:27.909,4,3
AB2F95CI,环西路-纬中路,2024-05-01 10:28:26.103,2024-05-01 11:03:27.909,3,3
AB2F95CI,环西路-纬中路,2024-05-01 18:38:22.039,2024-05-01 19:11:09.732,3,3
AB2FAA7I,环西路-纬中路,2024-05-05 15:35:21.401,2024-05-05 16:14:28.964,3,1
AB2H4B8M,环西路-纬中路,2024-05-02 12:06:44.021,2024-05-02 12:59:41.323,3,2
AB2HA7FM,环西路-纬中路,2024-05-01 20:48:51.451,2024-05-01 21:40:20.946,4,1
AB2HA7FM,环西路-纬中路,2024-05-01 20:49:28.819,2024-05-01 21:40:20.946,3,1
AB2HA7FM,环西路-纬中路,2024-05-05 10:35:48.738,2024-05-05 11:27:14.047,4,2
AB2HA7FM,环西路-纬中路,2024-05-05 10:35:55.537,2024-05-05 11:27:14.047,3,2
AB2K9ABH,环西路-纬中路,2024-05-03 15:30:25.359,2024-05-03 16:53:46.978,5,1
AB2K9ABH,环西路-纬中路,2024-05-03 15:31:35.406,2024-05-03 16:53:46.978,4,1
AB2KA2C,环西路-纬中路,2024-05-05 11:30:57.578,2024-05-05 12:29:03.048,4,4
AB2KA2C,环西路-纬中路,2024-05-05 11:31:36.835,2024-05-05 12:29:03.048,3,4
AB2KA2C,经中路-纬中路,2024-05-05 11:38:35.000,2024-05-05 12:23:27.000,3,4
AB2KADAK,环西路-纬中路,2024-05-03 16:35:54.994,2024-05-03 17:27:50.803,3,2
AB2M6A9H,环西路-纬中路,2024-05-04 10:56:57.574,2024-05-04 12:17:23.192,3,1
AB2M7BDI,纬中路-景区出入口,2024-05-03 13:12:40.752,2024-05-03 13:56:56.976,4,4
AB2M7BDI,纬中路-景区出入口,2024-05-03 13:13:14.398,2024-05-03 13:56:56.976,3,4
AB2MC5DH,环西路-纬中路,2024-04-30 23:49:34.087,2024-05-01 00:48:51.671,5,4
AB2MC5DH,环西路-纬中路,2024-05-01 00:06:21.329,2024-05-01 00:48:51.671,4,4
AB2MC5DH,环西路-纬中路,2024-05-01 00:08:51.800,2024-05-01 00:48:51.671,3,4
AB2MC5DH,环西路-纬中路,2024-05-01 13:05:34.657,2024-05-01 13:49:23.914,3,1
AB2N4DBI,纬中路-景区出入口,2024-05-04 19:17:45.333,2024-05-04 19:48:54.922,3,2
AB2N4DBI,环西路-纬中路,2024-05-04 20:54:54.635,2024-05-04 21:31:24.463,3,2
AB2N4DDH,环西路-纬中路,2024-05-02 22:54:40.927,2024-05-02 23:28:40.828,4,2
AB2N4DDH,环西路-纬中路,2024-05-02 22:55:02.729,2024-05-02 23:28:40.828,3,2
AB2N986,纬中路-景区出入口,2024-05-03 07:29:06.407,2024-05-03 08:11:20.284,3,2
AB2N996H,环西路-纬中路,2024-05-05 17:55:51.216,2024-05-05 18:38:34.820,3,2
AB2NBYE,环西路-纬中路,2024-05-05 13:54:46.303,2024-05-05 14:51:42.931,3,1
AB2NCA9I,环西路-纬中路,2024-05-01 15:47:45.135,2024-05-01 16:48:08.073,3,2
AB2O8DDK,纬中路-景区出入口,2024-05-02 18:49:57.898,2024-05-02 19:29:20.113,3,2
AB2OA6BI,环西路-纬中路,2024-05-01 19:05:06.089,2024-05-01 19:40:36.639,3,2
AB2P6CBI,环西路-纬中路,2024-05-03 12:43:06.759,2024-05-03 13:58:43.901,5,3
AB2P6CBI,环西路-纬中路,2024-05-03 12:48:03.760,2024-05-03 13:58:43.901,4,3
AB2P6CBI,环西路-纬中路,2024-05-03 12:48:16.311,2024-05-03 13:58:43.901,3,3
AB2PBAEI,经中路-纬中路,2024-05-03 15:01:47.000,2024-05-03 16:02:47.000,3,3
AB2Q5CEH,环西路-纬中路,2024-05-01 17:47:51.460,2024-05-01 18:23:47.463,3,1
AB2QX7F,环西路-纬中路,2024-05-02 09:12:10.028,2024-05-02 10:19:19.737,7,1
AB2QX7F,环西路-纬中路,2024-05-02 09:12:13.271,2024-05-02 10:19:19.737,6,1
AB2QX7F,环西路-纬中路,2024-05-02 09:30:07.472,2024-05-02 10:19:19.737,5,1
AB2QX7F,环西路-纬中路,2024-05-02 09:30:09.421,2024-05-02 10:19:19.737,4,1
AB2QX7F,环西路-纬中路,2024-05-02 09:31:27.988,2024-05-02 10:19:19.737,3,1
AB2UC8BK,经中路-纬中路,2024-05-04 08:06:11.000,2024-05-04 09:25:38.000,3,1
AB2V759K,环西路-纬中路,2024-05-02 22:05:26.927,2024-05-02 23:07:22.995,6,2
AB2V759K,环西路-纬中路,2024-05-02 22:05:34.888,2024-05-02 23:07:22.995,5,2
AB2V759K,环西路-纬中路,2024-05-02 22:08:12.510,2024-05-02 23:07:22.995,4,2
AB2V759K,环西路-纬中路,2024-05-02 22:08:15.789,2024-05-02 23:07:22.995,3,2
AB2XC8AI,环西路-纬中路,2024-05-02 13:07:44.184,2024-05-02 13:37:49.759,3,1
AB2Y1BC,环西路-纬中路,2024-05-02 10:10:50.990,2024-05-02 10:52:53.557,4,1
AB2Y1BC,环西路-纬中路,2024-05-02 10:10:56.123,2024-05-02 10:52:53.557,3,1
AB2Y55FI,纬中路-景区出入口,2024-05-04 18:41:19.878,2024-05-04 19:57:42.528,3,2
AB30487,纬中路-景区出入口,2024-05-05 10:21:40.025,2024-05-05 11:42:10.328,3,3
AB3058AK,环西路-纬中路,2024-05-02 11:35:28.138,2024-05-02 12:09:43.810,3,1
AB317DCK,环西路-纬中路,2024-05-03 07:47:28.738,2024-05-03 08:45:07.650,3,4
AB3458CI,环西路-纬中路,2024-05-04 20:31:49.515,2024-05-04 21:25:19.961,5,6
AB3458CI,环西路-纬中路,2024-05-04 20:32:26.893,2024-05-04 21:25:19.961,4,6
AB3458CI,环西路-纬中路,2024-05-04 20:55:14.594,2024-05-04 21:25:19.961,3,2
AB3458CI,环西路-纬中路,2024-05-05 12:33:10.435,2024-05-05 13:20:43.203,4,6
AB3458CI,环西路-纬中路,2024-05-05 12:33:15.766,2024-05-05 13:20:43.203,3,6
AB34676J,环西路-纬中路,2024-05-01 18:49:09.436,2024-05-01 19:23:46.836,3,2
AB34A7BK,经中路-环北路,2024-05-02 07:21:54.975,2024-05-02 08:46:43.409,3,3
AB34ER8,环西路-纬中路,2024-05-04 18:36:04.880,2024-05-04 20:05:13.215,3,2
AB354ACH,环西路-纬中路,2024-05-03 07:38:00.800,2024-05-03 08:08:04.629,3,1
AB354ACH,环西路-纬中路,2024-05-03 17:01:55.742,2024-05-03 18:22:07.971,3,1
AB35859H,经中路-纬中路,2024-05-03 19:18:14.000,2024-05-03 20:15:28.000,3,2
AB35958I,环西路-纬中路,2024-05-03 16:35:42.951,2024-05-03 17:07:09.518,3,1
AB378A8M,环西路-纬中路,2024-05-01 19:22:28.096,2024-05-01 20:50:11.001,3,1
AB388DBH,经中路-纬中路,2024-05-03 17:43:52.000,2024-05-03 19:01:04.000,4,4
AB388DBH,经中路-纬中路,2024-05-03 18:00:21.000,2024-05-03 19:01:04.000,3,4
AB3925N,纬中路-景区出入口,2024-05-01 09:08:25.271,2024-05-01 09:44:22.982,3,1
AB3955BI,环西路-纬中路,2024-05-04 21:33:06.088,2024-05-04 22:05:13.370,3,1
AB39756N,环西路-纬中路,2024-05-01 20:12:18.846,2024-05-01 21:04:54.681,3,4
AB39CB8J,环西路-纬中路,2024-05-04 13:03:37.641,2024-05-04 14:20:14.775,3,1
AB39DA6J,环西路-纬中路,2024-05-05 10:45:04.493,2024-05-05 11:17:01.959,3,1
AB3A641,纬中路-景区出入口,2024-05-03 16:34:31.285,2024-05-03 17:17:57.672,4,3
AB3A641,纬中路-景区出入口,2024-05-03 16:35:40.481,2024-05-03 17:17:57.672,3,3
AB3AADEH,环西路-纬中路,2024-05-05 17:57:18.984,2024-05-05 18:45:44.412,3,1
AB3AW76,经中路-纬中路,2024-05-03 08:42:50.000,2024-05-03 09:36:21.000,3,3
AB3B556I,环西路-纬中路,2024-05-02 06:47:17.174,2024-05-02 07:17:20.054,3,1
AB3B6D9J,环西路-纬中路,2024-05-04 09:53:33.005,2024-05-04 10:39:11.291,7,1
AB3B6D9J,环西路-纬中路,2024-05-04 09:53:41.858,2024-05-04 10:39:11.291,6,1
AB3B6D9J,环西路-纬中路,2024-05-04 09:56:31.133,2024-05-04 10:39:11.291,5,1
AB3B6D9J,环西路-纬中路,2024-05-04 09:56:39.295,2024-05-04 10:39:11.291,4,1
AB3BC59J,环西路-纬中路,2024-05-02 21:22:47.466,2024-05-02 22:05:25.941,3,1
AB3BC59J,环西路-纬中路,2024-05-03 17:11:59.225,2024-05-03 17:47:19.107,3,2
AB3BLFC,纬中路-景区出入口,2024-05-05 11:56:51.343,2024-05-05 12:39:28.982,4,2
AB3BLFC,纬中路-景区出入口,2024-05-05 11:59:58.848,2024-05-05 12:39:28.982,3,2
AB3DBBEM,经中路-纬中路,2024-05-03 06:46:38.000,2024-05-03 07:42:21.000,3,2
AB3E6EFN,环西路-纬中路,2024-05-04 20:31:57.560,2024-05-04 21:25:37.839,3,2
AB3GA77I,环西路-纬中路,2024-05-01 16:33:33.220,2024-05-01 17:20:45.378,3,1
AB3GA77I,环西路-纬中路,2024-05-03 14:04:44.527,2024-05-03 14:44:17.808,3,3
AB3H78FI,环西路-纬中路,2024-05-01 18:15:48.877,2024-05-01 19:22:12.294,4,2
AB3H78FI,环西路-纬中路,2024-05-01 18:15:55.211,2024-05-01 19:22:12.294,3,2
AB3H9BFI,环西路-纬中路,2024-05-05 17:25:44.850,2024-05-05 18:50:20.968,3,1
AB3IDEEI,经中路-环北路,2024-05-02 15:33:48.090,2024-05-02 16:21:24.521,3,1
AB3K4BQ,环西路-纬中路,2024-05-01 17:29:47.487,2024-05-01 18:22:21.067,6,2
AB3K4BQ,环西路-纬中路,2024-05-01 17:29:56.927,2024-05-01 18:22:21.067,5,2
AB3K4BQ,环西路-纬中路,2024-05-01 17:39:26.315,2024-05-01 18:22:21.067,4,1
AB3K4BQ,环西路-纬中路,2024-05-01 17:39:33.206,2024-05-01 18:22:21.067,3,1
AB3K9EEI,环西路-纬中路,2024-05-03 12:49:15.187,2024-05-03 14:04:13.855,4,5
AB3K9EEI,环西路-纬中路,2024-05-03 12:50:18.440,2024-05-03 14:04:13.855,3,5
AB3KB69I,经中路-纬中路,2024-05-05 09:19:12.000,2024-05-05 10:28:12.000,3,5
AB3KB69I,环西路-纬中路,2024-05-05 09:44:07.294,2024-05-05 10:22:58.175,3,4
AB3M49DK,环西路-纬中路,2024-05-04 18:23:14.227,2024-05-04 19:17:05.432,3,5
AB3M49DK,经中路-纬中路,2024-05-04 18:30:09.000,2024-05-04 19:12:27.000,3,5
AB3M6Z6,经中路-纬中路,2024-05-03 19:32:36.000,2024-05-03 20:53:53.000,4,6
AB3M6Z6,经中路-纬中路,2024-05-03 19:45:34.000,2024-05-03 20:53:53.000,3,6
AB3M6Z6,纬中路-景区出入口,2024-05-03 19:47:39.563,2024-05-03 20:56:41.819,3,5
AB3N49EH,环西路-纬中路,2024-05-02 19:56:45.375,2024-05-02 20:31:08.488,3,1
AB3N5BDH,环西路-纬中路,2024-05-05 12:45:14.559,2024-05-05 13:22:51.261,3,1
AB3N9OE,环西路-纬中路,2024-05-04 14:38:53.712,2024-05-04 15:33:06.983,3,1
AB3NCA9H,环西路-纬中路,2024-05-03 13:42:07.707,2024-05-03 14:16:52.079,4,1
AB3NCA9H,环西路-纬中路,2024-05-03 13:42:10.958,2024-05-03 14:16:52.079,3,1
AB3O536,环西路-纬中路,2024-05-02 15:25:54.031,2024-05-02 16:41:19.099,3,3
AB3OKB7,经中路-纬中路,2024-05-03 10:20:00.000,2024-05-03 11:18:38.000,3,4
AB3OKB7,经中路-纬中路,2024-05-03 10:40:50.000,2024-05-03 11:57:53.000,3,7
AB3OKB7,经中路-纬中路,2024-05-03 10:48:38.000,2024-05-03 12:16:54.000,3,8
AB3OKB7,经中路-纬中路,2024-05-03 11:27:53.000,2024-05-03 12:20:01.000,3,5
AB3S5BDI,环西路-纬中路,2024-05-01 20:10:54.719,2024-05-01 21:26:22.096,8,1
AB3S5BDI,环西路-纬中路,2024-05-01 20:10:58.721,2024-05-01 21:26:22.096,7,1
AB3S5BDI,环西路-纬中路,2024-05-01 20:23:02.056,2024-05-01 21:26:22.096,6,1
AB3S5BDI,环西路-纬中路,2024-05-01 20:23:12.801,2024-05-01 21:26:22.096,5,1
AB3TBC8,纬中路-景区出入口,2024-05-03 07:37:49.255,2024-05-03 08:15:46.438,3,1
AB3TBDEH,环西路-纬中路,2024-05-01 19:51:04.906,2024-05-01 20:21:10.282,3,2
AB3TDAEH,环西路-纬中路,2024-05-05 20:48:10.329,2024-05-05 21:42:21.866,3,2
AB3V67DK,环西路-纬中路,2024-05-05 08:49:09.295,2024-05-05 09:23:57.758,3,2
AB3V78DK,纬中路-景区出入口,2024-05-02 07:37:22.484,2024-05-02 08:49:56.372,3,1
AB3VD79H,环西路-纬中路,2024-05-01 00:15:00.697,2024-05-01 01:16:56.346,4,2
AB3VD79H,环西路-纬中路,2024-05-01 00:23:43.754,2024-05-01 01:16:56.346,3,2
AB3VD79H,环西路-纬中路,2024-05-01 00:46:56.346,2024-05-01 02:12:54.894,7,4
AB3VD79H,环西路-纬中路,2024-05-01 01:32:45.435,2024-05-01 02:12:54.894,6,1
AB3VD79H,环西路-纬中路,2024-05-01 01:32:51.567,2024-05-01 02:12:54.894,5,1
AB3VD79H,环西路-纬中路,2024-05-01 01:41:07.717,2024-05-01 02:12:54.894,4,1
AB3VD79H,环西路-纬中路,2024-05-01 01:41:10.512,2024-05-01 02:12:54.894,3,1
AB3VD79H,环西路-纬中路,2024-05-01 11:53:39.503,2024-05-01 13:11:51.966,3,2
AB3VD79H,环西路-纬中路,2024-05-02 23:36:12.676,2024-05-03 00:56:56.731,9,3
AB3VD79H,环西路-纬中路,2024-05-02 23:39:55.161,2024-05-03 00:56:56.731,8,3
AB3VD79H,环西路-纬中路,2024-05-02 23:40:00.550,2024-05-03 00:56:56.731,7,3
AB3VD79H,环西路-纬中路,2024-05-03 00:04:05.785,2024-05-03 01:22:27.778,9,4
AB3VD79H,环西路-纬中路,2024-05-03 00:08:29.123,2024-05-03 01:22:27.778,8,3
AB3VD79H,环西路-纬中路,2024-05-03 00:12:08.793,2024-05-03 01:22:27.778,7,3
AB3VD79H,环西路-纬中路,2024-05-03 00:22:57.372,2024-05-03 01:22:27.778,6,2
AB3VD79H,环西路-纬中路,2024-05-03 00:22:59.834,2024-05-03 01:22:27.778,5,2
AB3VD79H,环西路-纬中路,2024-05-03 00:26:56.731,2024-05-03 01:22:27.778,4,2
AB3VD79H,环西路-纬中路,2024-05-03 00:45:45.588,2024-05-03 01:22:27.778,3,2
AB3VD79H,环西路-纬中路,2024-05-03 12:28:30.901,2024-05-03 13:51:34.135,4,5
AB3VD79H,环西路-纬中路,2024-05-03 12:28:37.050,2024-05-03 13:51:34.135,3,5
AB3VD79H,环西路-纬中路,2024-05-03 23:28:09.886,2024-05-04 00:34:07.292,5,3
AB3VD79H,环西路-纬中路,2024-05-03 23:28:28.283,2024-05-04 00:34:07.292,4,3
AB3VD79H,环西路-纬中路,2024-05-03 23:52:00.499,2024-05-04 01:15:47.998,5,6
AB3VD79H,环西路-纬中路,2024-05-03 23:54:23.911,2024-05-04 01:15:47.998,4,6
AB3VD79H,环西路-纬中路,2024-05-04 00:04:07.292,2024-05-04 01:15:47.998,3,6
AB3VD79H,环西路-纬中路,2024-05-04 00:36:01.514,2024-05-04 02:01:11.442,5,4
AB3VD79H,环西路-纬中路,2024-05-04 00:45:47.998,2024-05-04 02:06:50.883,6,4
AB3VD79H,环西路-纬中路,2024-05-04 01:05:57.139,2024-05-04 02:20:15.316,7,1
AB3VD79H,环西路-纬中路,2024-05-04 01:06:06.955,2024-05-04 02:20:15.316,6,1
AB3VD79H,经一路-纬中路,2024-05-01 00:47:34.010,2024-05-01 02:01:48.623,3,4
AB3VD79H,经一路-纬中路,2024-05-02 23:34:56.142,2024-05-03 00:57:44.531,6,4
AB3VD79H,经一路-纬中路,2024-05-02 23:52:09.221,2024-05-03 01:14:20.828,6,4
AB3VD79H,经一路-纬中路,2024-05-02 23:58:57.973,2024-05-03 01:14:20.828,5,4
AB3VD79H,经一路-纬中路,2024-05-03 00:12:45.556,2024-05-03 01:14:20.828,4,3
AB3VD79H,经一路-纬中路,2024-05-03 00:22:12.629,2024-05-03 01:14:20.828,3,2
AB3VD79H,经一路-纬中路,2024-05-03 23:51:19.771,2024-05-04 01:10:35.429,4,6
AB3VD79H,经一路-纬中路,2024-05-04 00:13:09.673,2024-05-04 01:34:20.624,4,5
AB3VD79H,经一路-纬中路,2024-05-04 00:19:17.924,2024-05-04 01:34:20.624,3,5
AB3VD79H,经二路-纬中路,2024-05-01 00:49:17.804,2024-05-01 02:00:05.983,3,4
AB3VD79H,经二路-纬中路,2024-05-02 23:33:37.478,2024-05-03 00:51:02.524,3,3
AB3VD79H,经二路-纬中路,2024-05-03 00:13:09.748,2024-05-03 01:12:08.386,3,3
AB3VD79H,纬中路-景区出入口,2024-05-01 00:52:18.004,2024-05-01 01:51:06.766,4,4
AB3VD79H,纬中路-景区出入口,2024-05-01 00:57:06.923,2024-05-01 01:51:06.766,3,4
AB3VD79H,经四路-纬中路,2024-05-01 00:53:05.865,2024-05-01 01:50:13.968,6,4
AB3VD79H,经四路-纬中路,2024-05-01 00:56:16.662,2024-05-01 01:50:13.968,5,4
AB3VD79H,经四路-纬中路,2024-05-01 01:17:51.713,2024-05-01 01:50:13.968,4,2
AB3VD79H,经四路-纬中路,2024-05-01 01:17:57.799,2024-05-01 01:50:13.968,3,2
AB3VD79H,经中路-纬中路,2024-05-02 14:17:14.000,2024-05-02 15:19:49.000,3,2
AB3W7EFH,环西路-纬中路,2024-05-02 10:44:42.349,2024-05-02 11:19:20.716,3,1
AB3W7EFH,环西路-纬中路,2024-05-05 11:17:39.043,2024-05-05 11:50:24.000,3,4
AB3W7EFH,经一路-纬中路,2024-05-02 10:37:35.348,2024-05-02 11:20:17.065,3,1
AB3WBACM,纬中路-景区出入口,2024-05-04 14:53:01.710,2024-05-04 15:44:21.845,3,2
AB3WD8FH,纬中路-景区出入口,2024-05-05 12:29:18.466,2024-05-05 13:42:47.477,4,2
AB3WD8FH,纬中路-景区出入口,2024-05-05 13:05:37.886,2024-05-05 13:42:47.477,3,1
AB3WD8FH,经中路-纬中路,2024-05-05 12:33:02.000,2024-05-05 13:34:26.000,3,2
AB3X4B9K,经中路-纬中路,2024-05-03 10:06:42.000,2024-05-03 11:14:24.000,3,1
AB3X6DCH,环西路-纬中路,2024-05-02 12:20:07.298,2024-05-02 13:06:01.422,4,2
AB3X6DCH,环西路-纬中路,2024-05-02 12:35:10.219,2024-05-02 13:06:01.422,3,2
AB3XA8EI,环西路-纬中路,2024-05-05 15:20:44.377,2024-05-05 16:11:21.342,5,1
AB3XA8EI,环西路-纬中路,2024-05-05 15:23:36.148,2024-05-05 16:11:21.342,4,1
AB3XA8EI,环西路-纬中路,2024-05-05 15:23:41.462,2024-05-05 16:11:21.342,3,1
AB3XBCDK,环西路-纬中路,2024-05-02 20:56:11.334,2024-05-02 22:15:44.548,3,1
AB3ZCBCI,环西路-纬中路,2024-05-03 20:18:43.041,2024-05-03 20:55:02.136,4,1
AB3ZCBCI,环西路-纬中路,2024-05-03 20:18:50.429,2024-05-03 20:55:02.136,3,1
AB3ZCBCI,纬中路-景区出入口,2024-05-03 20:35:25.302,2024-05-03 21:15:47.694,3,1
AB40279,经中路-纬中路,2024-05-03 20:57:14.000,2024-05-03 22:01:38.000,3,1
AB40BBEM,经一路-纬中路,2024-05-04 21:16:13.259,2024-05-04 22:01:24.937,3,3
AB4275V,经中路-环北路,2024-05-01 16:19:25.056,2024-05-01 17:02:59.359,3,2
AB434BCN,环西路-纬中路,2024-05-03 23:22:32.400,2024-05-04 00:08:12.421,3,1
AB43HQ6,纬中路-景区出入口,2024-05-01 17:52:45.206,2024-05-01 18:45:05.031,3,3
AB43PA9,纬中路-景区出入口,2024-05-02 12:53:30.099,2024-05-02 13:50:03.550,3,2
AB447B9I,经中路-纬中路,2024-05-05 13:28:13.000,2024-05-05 14:52:11.000,3,3
AB454XK,纬中路-景区出入口,2024-05-01 15:27:55.530,2024-05-01 16:32:44.081,3,1
AB466MM,经中路-纬中路,2024-05-03 12:17:57.000,2024-05-03 13:45:59.000,3,6
AB478W3,纬中路-景区出入口,2024-05-05 13:37:28.737,2024-05-05 14:19:40.058,3,3
AB48AA9I,环西路-纬中路,2024-05-04 19:01:40.767,2024-05-04 19:31:47.572,3,1
AB48AEFH,环西路-纬中路,2024-05-04 13:10:17.885,2024-05-04 14:10:50.508,4,1
AB48AEFH,环西路-纬中路,2024-05-04 13:10:24.924,2024-05-04 14:10:50.508,3,1
AB49577I,纬中路-景区出入口,2024-05-02 21:51:50.269,2024-05-02 22:38:11.707,3,1
AB4B47CH,环西路-纬中路,2024-05-05 22:02:37.036,2024-05-05 22:41:42.873,3,1
AB4BB6FJ,环西路-纬中路,2024-05-04 11:06:08.887,2024-05-04 12:35:12.784,3,2
AB4BDB8I,环西路-纬中路,2024-05-04 12:46:22.542,2024-05-04 13:18:59.192,4,2
AB4BDB8I,环西路-纬中路,2024-05-04 12:46:27.869,2024-05-04 13:18:59.192,3,2
AB4BJ6E,经四路-纬中路,2024-05-01 07:51:15.372,2024-05-01 08:42:03.205,3,2
AB4BJ6E,经五路-纬中路,2024-05-01 08:02:02.556,2024-05-01 08:51:51.181,4,2
AB4BJ6E,经五路-纬中路,2024-05-01 08:10:16.480,2024-05-01 08:51:51.181,3,2
AB4CFUF,环西路-纬中路,2024-05-02 18:29:56.081,2024-05-02 19:02:57.865,3,1
AB4CIWD,环西路-纬中路,2024-05-01 17:10:24.270,2024-05-01 18:03:47.022,3,2
AB4D669N,环西路-纬中路,2024-05-05 16:36:17.061,2024-05-05 18:04:46.392,3,2
