交叉口,时间段,车辆数,车辆密度,日期
经中路-环南路,2024-05-03 22:00:00,905,905.0,2024-05-03
经中路-环南路,2024-05-03 23:00:00,674,674.0,2024-05-03
经中路-纬一路,2024-05-03 00:00:00,381,381.0,2024-05-03
经中路-纬一路,2024-05-03 01:00:00,192,192.0,2024-05-03
经中路-纬一路,2024-05-03 02:00:00,150,150.0,2024-05-03
经中路-纬一路,2024-05-03 03:00:00,133,133.0,2024-05-03
经中路-纬一路,2024-05-03 04:00:00,153,153.0,2024-05-03
经中路-纬一路,2024-05-03 05:00:00,294,294.0,2024-05-03
经中路-纬一路,2024-05-03 06:00:00,669,669.0,2024-05-03
经中路-纬一路,2024-05-03 07:00:00,1132,1132.0,2024-05-03
经中路-纬一路,2024-05-03 08:00:00,1656,1656.0,2024-05-03
经中路-纬一路,2024-05-03 09:00:00,1924,1924.0,2024-05-03
经中路-纬一路,2024-05-03 10:00:00,1858,1858.0,2024-05-03
经中路-纬一路,2024-05-03 11:00:00,1783,1783.0,2024-05-03
经中路-纬一路,2024-05-03 12:00:00,2071,2071.0,2024-05-03
经中路-纬一路,2024-05-03 13:00:00,2109,2109.0,2024-05-03
经中路-纬一路,2024-05-03 14:00:00,2108,2108.0,2024-05-03
经中路-纬一路,2024-05-03 15:00:00,1790,1790.0,2024-05-03
经中路-纬一路,2024-05-03 16:00:00,2051,2051.0,2024-05-03
经中路-纬一路,2024-05-03 17:00:00,2076,2076.0,2024-05-03
经中路-纬一路,2024-05-03 18:00:00,1785,1785.0,2024-05-03
经中路-纬一路,2024-05-03 19:00:00,1760,1760.0,2024-05-03
经中路-纬一路,2024-05-03 20:00:00,1596,1596.0,2024-05-03
经中路-纬一路,2024-05-03 21:00:00,1362,1362.0,2024-05-03
经中路-纬一路,2024-05-03 22:00:00,846,846.0,2024-05-03
经中路-纬一路,2024-05-03 23:00:00,614,614.0,2024-05-03
经中路-纬中路,2024-05-03 00:00:00,498,498.0,2024-05-03
经中路-纬中路,2024-05-03 01:00:00,221,221.0,2024-05-03
经中路-纬中路,2024-05-03 02:00:00,159,159.0,2024-05-03
经中路-纬中路,2024-05-03 03:00:00,144,144.0,2024-05-03
经中路-纬中路,2024-05-03 04:00:00,179,179.0,2024-05-03
经中路-纬中路,2024-05-03 05:00:00,344,344.0,2024-05-03
经中路-纬中路,2024-05-03 06:00:00,826,826.0,2024-05-03
经中路-纬中路,2024-05-03 07:00:00,1455,1455.0,2024-05-03
经中路-纬中路,2024-05-03 08:00:00,2123,2123.0,2024-05-03
经中路-纬中路,2024-05-03 09:00:00,2577,2577.0,2024-05-03
经中路-纬中路,2024-05-03 10:00:00,2492,2492.0,2024-05-03
经中路-纬中路,2024-05-03 11:00:00,2440,2440.0,2024-05-03
经中路-纬中路,2024-05-03 12:00:00,2082,2082.0,2024-05-03
经中路-纬中路,2024-05-03 13:00:00,2176,2176.0,2024-05-03
经中路-纬中路,2024-05-03 14:00:00,2309,2309.0,2024-05-03
经中路-纬中路,2024-05-03 15:00:00,2241,2241.0,2024-05-03
经中路-纬中路,2024-05-03 16:00:00,1941,1941.0,2024-05-03
经中路-纬中路,2024-05-03 17:00:00,1782,1782.0,2024-05-03
经中路-纬中路,2024-05-03 18:00:00,2574,2574.0,2024-05-03
经中路-纬中路,2024-05-03 19:00:00,2580,2580.0,2024-05-03
经中路-纬中路,2024-05-03 20:00:00,2237,2237.0,2024-05-03
经中路-纬中路,2024-05-03 21:00:00,1957,1957.0,2024-05-03
经中路-纬中路,2024-05-03 22:00:00,1253,1253.0,2024-05-03
经中路-纬中路,2024-05-03 23:00:00,870,870.0,2024-05-03
经二路-纬中路,2024-05-03 00:00:00,217,217.0,2024-05-03
经二路-纬中路,2024-05-03 01:00:00,101,101.0,2024-05-03
经二路-纬中路,2024-05-03 02:00:00,52,52.0,2024-05-03
经二路-纬中路,2024-05-03 03:00:00,37,37.0,2024-05-03
经二路-纬中路,2024-05-03 04:00:00,45,45.0,2024-05-03
经二路-纬中路,2024-05-03 05:00:00,91,91.0,2024-05-03
经二路-纬中路,2024-05-03 06:00:00,234,234.0,2024-05-03
经二路-纬中路,2024-05-03 07:00:00,511,511.0,2024-05-03
经二路-纬中路,2024-05-03 08:00:00,616,616.0,2024-05-03
经二路-纬中路,2024-05-03 09:00:00,871,871.0,2024-05-03
经二路-纬中路,2024-05-03 10:00:00,853,853.0,2024-05-03
经二路-纬中路,2024-05-03 11:00:00,709,709.0,2024-05-03
经二路-纬中路,2024-05-03 12:00:00,771,771.0,2024-05-03
经二路-纬中路,2024-05-03 13:00:00,569,569.0,2024-05-03
经二路-纬中路,2024-05-03 14:00:00,570,570.0,2024-05-03
经二路-纬中路,2024-05-03 15:00:00,670,670.0,2024-05-03
经二路-纬中路,2024-05-03 16:00:00,927,927.0,2024-05-03
经二路-纬中路,2024-05-03 17:00:00,1103,1103.0,2024-05-03
经二路-纬中路,2024-05-03 18:00:00,887,887.0,2024-05-03
经二路-纬中路,2024-05-03 19:00:00,916,916.0,2024-05-03
经二路-纬中路,2024-05-03 20:00:00,900,900.0,2024-05-03
经二路-纬中路,2024-05-03 21:00:00,790,790.0,2024-05-03
经二路-纬中路,2024-05-03 22:00:00,513,513.0,2024-05-03
经二路-纬中路,2024-05-03 23:00:00,351,351.0,2024-05-03
经五路-纬中路,2024-05-03 00:00:00,64,64.0,2024-05-03
经五路-纬中路,2024-05-03 01:00:00,12,12.0,2024-05-03
经五路-纬中路,2024-05-03 02:00:00,8,8.0,2024-05-03
经五路-纬中路,2024-05-03 03:00:00,18,18.0,2024-05-03
经五路-纬中路,2024-05-03 04:00:00,16,16.0,2024-05-03
经五路-纬中路,2024-05-03 05:00:00,34,34.0,2024-05-03
经五路-纬中路,2024-05-03 06:00:00,145,145.0,2024-05-03
经五路-纬中路,2024-05-03 07:00:00,285,285.0,2024-05-03
经五路-纬中路,2024-05-03 08:00:00,430,430.0,2024-05-03
经五路-纬中路,2024-05-03 09:00:00,579,579.0,2024-05-03
经五路-纬中路,2024-05-03 10:00:00,496,496.0,2024-05-03
经五路-纬中路,2024-05-03 11:00:00,558,558.0,2024-05-03
经五路-纬中路,2024-05-03 12:00:00,739,739.0,2024-05-03
经五路-纬中路,2024-05-03 13:00:00,723,723.0,2024-05-03
经五路-纬中路,2024-05-03 14:00:00,664,664.0,2024-05-03
经五路-纬中路,2024-05-03 15:00:00,694,694.0,2024-05-03
经五路-纬中路,2024-05-03 16:00:00,645,645.0,2024-05-03
经五路-纬中路,2024-05-03 17:00:00,645,645.0,2024-05-03
经五路-纬中路,2024-05-03 18:00:00,548,548.0,2024-05-03
经五路-纬中路,2024-05-03 19:00:00,441,441.0,2024-05-03
经五路-纬中路,2024-05-03 20:00:00,456,456.0,2024-05-03
经五路-纬中路,2024-05-03 21:00:00,309,309.0,2024-05-03
经五路-纬中路,2024-05-03 22:00:00,193,193.0,2024-05-03
经五路-纬中路,2024-05-03 23:00:00,62,62.0,2024-05-03
经四路-纬中路,2024-05-03 00:00:00,80,80.0,2024-05-03
经四路-纬中路,2024-05-03 01:00:00,39,39.0,2024-05-03
经四路-纬中路,2024-05-03 02:00:00,33,33.0,2024-05-03
经四路-纬中路,2024-05-03 03:00:00,27,27.0,2024-05-03
经四路-纬中路,2024-05-03 04:00:00,35,35.0,2024-05-03
经四路-纬中路,2024-05-03 05:00:00,87,87.0,2024-05-03
经四路-纬中路,2024-05-03 06:00:00,95,95.0,2024-05-03
经四路-纬中路,2024-05-03 07:00:00,106,106.0,2024-05-03
经四路-纬中路,2024-05-03 08:00:00,79,79.0,2024-05-03
经四路-纬中路,2024-05-03 09:00:00,106,106.0,2024-05-03
经四路-纬中路,2024-05-03 10:00:00,107,107.0,2024-05-03
经四路-纬中路,2024-05-03 11:00:00,117,117.0,2024-05-03
经四路-纬中路,2024-05-03 12:00:00,93,93.0,2024-05-03
经四路-纬中路,2024-05-03 13:00:00,47,47.0,2024-05-03
经四路-纬中路,2024-05-03 14:00:00,99,99.0,2024-05-03
经四路-纬中路,2024-05-03 15:00:00,111,111.0,2024-05-03
经四路-纬中路,2024-05-03 16:00:00,124,124.0,2024-05-03
经四路-纬中路,2024-05-03 17:00:00,73,73.0,2024-05-03
经四路-纬中路,2024-05-03 18:00:00,76,76.0,2024-05-03
经四路-纬中路,2024-05-03 19:00:00,102,102.0,2024-05-03
经四路-纬中路,2024-05-03 20:00:00,110,110.0,2024-05-03
经四路-纬中路,2024-05-03 21:00:00,96,96.0,2024-05-03
经四路-纬中路,2024-05-03 22:00:00,119,119.0,2024-05-03
经四路-纬中路,2024-05-03 23:00:00,102,102.0,2024-05-03
