交叉口,时间段,车辆数,车辆密度,日期
经三路-纬中路,2024-05-01 14:00:00,1623,1623.0,2024-05-01
经三路-纬中路,2024-05-01 15:00:00,484,484.0,2024-05-01
经三路-纬中路,2024-05-01 17:00:00,583,583.0,2024-05-01
经三路-纬中路,2024-05-01 18:00:00,1806,1806.0,2024-05-01
经三路-纬中路,2024-05-01 19:00:00,1724,1724.0,2024-05-01
经三路-纬中路,2024-05-01 20:00:00,1597,1597.0,2024-05-01
经三路-纬中路,2024-05-01 21:00:00,1399,1399.0,2024-05-01
经三路-纬中路,2024-05-01 22:00:00,1043,1043.0,2024-05-01
经三路-纬中路,2024-05-01 23:00:00,756,756.0,2024-05-01
经中路-环北路,2024-05-01 00:00:00,59,59.0,2024-05-01
经中路-环北路,2024-05-01 01:00:00,105,105.0,2024-05-01
经中路-环北路,2024-05-01 02:00:00,127,127.0,2024-05-01
经中路-环北路,2024-05-01 03:00:00,91,91.0,2024-05-01
经中路-环北路,2024-05-01 04:00:00,113,113.0,2024-05-01
经中路-环北路,2024-05-01 05:00:00,233,233.0,2024-05-01
经中路-环北路,2024-05-01 06:00:00,531,531.0,2024-05-01
经中路-环北路,2024-05-01 07:00:00,997,997.0,2024-05-01
经中路-环北路,2024-05-01 08:00:00,1579,1579.0,2024-05-01
经中路-环北路,2024-05-01 09:00:00,171,171.0,2024-05-01
经中路-环北路,2024-05-01 11:00:00,328,328.0,2024-05-01
经中路-环北路,2024-05-01 12:00:00,1877,1877.0,2024-05-01
经中路-环北路,2024-05-01 13:00:00,1771,1771.0,2024-05-01
经中路-环北路,2024-05-01 14:00:00,1725,1725.0,2024-05-01
经中路-环北路,2024-05-01 15:00:00,1855,1855.0,2024-05-01
经中路-环北路,2024-05-01 16:00:00,1859,1859.0,2024-05-01
经中路-环北路,2024-05-01 17:00:00,2090,2090.0,2024-05-01
经中路-环北路,2024-05-01 18:00:00,1773,1773.0,2024-05-01
经中路-环北路,2024-05-01 19:00:00,1518,1518.0,2024-05-01
经中路-环北路,2024-05-01 20:00:00,1628,1628.0,2024-05-01
经中路-环北路,2024-05-01 21:00:00,1452,1452.0,2024-05-01
经中路-环北路,2024-05-01 22:00:00,1070,1070.0,2024-05-01
经中路-环北路,2024-05-01 23:00:00,598,598.0,2024-05-01
经中路-环南路,2024-05-01 00:00:00,474,474.0,2024-05-01
经中路-环南路,2024-05-01 01:00:00,288,288.0,2024-05-01
经中路-环南路,2024-05-01 02:00:00,150,150.0,2024-05-01
经中路-环南路,2024-05-01 03:00:00,99,99.0,2024-05-01
经中路-环南路,2024-05-01 04:00:00,154,154.0,2024-05-01
经中路-环南路,2024-05-01 05:00:00,376,376.0,2024-05-01
经中路-环南路,2024-05-01 06:00:00,754,754.0,2024-05-01
经中路-环南路,2024-05-01 07:00:00,1405,1405.0,2024-05-01
经中路-环南路,2024-05-01 08:00:00,2146,2146.0,2024-05-01
经中路-环南路,2024-05-01 09:00:00,2590,2590.0,2024-05-01
经中路-环南路,2024-05-01 10:00:00,2655,2655.0,2024-05-01
经中路-环南路,2024-05-01 11:00:00,2588,2588.0,2024-05-01
经中路-环南路,2024-05-01 12:00:00,2624,2624.0,2024-05-01
经中路-环南路,2024-05-01 13:00:00,2751,2751.0,2024-05-01
经中路-环南路,2024-05-01 14:00:00,2781,2781.0,2024-05-01
经中路-环南路,2024-05-01 15:00:00,2767,2767.0,2024-05-01
经中路-环南路,2024-05-01 16:00:00,2726,2726.0,2024-05-01
经中路-环南路,2024-05-01 17:00:00,2645,2645.0,2024-05-01
经中路-环南路,2024-05-01 18:00:00,2338,2338.0,2024-05-01
经中路-环南路,2024-05-01 19:00:00,2456,2456.0,2024-05-01
经中路-环南路,2024-05-01 20:00:00,2033,2033.0,2024-05-01
经中路-环南路,2024-05-01 21:00:00,1804,1804.0,2024-05-01
经中路-环南路,2024-05-01 22:00:00,1276,1276.0,2024-05-01
经中路-环南路,2024-05-01 23:00:00,914,914.0,2024-05-01
经中路-纬一路,2024-05-01 00:00:00,467,467.0,2024-05-01
经中路-纬一路,2024-05-01 01:00:00,299,299.0,2024-05-01
经中路-纬一路,2024-05-01 02:00:00,220,220.0,2024-05-01
经中路-纬一路,2024-05-01 03:00:00,151,151.0,2024-05-01
经中路-纬一路,2024-05-01 04:00:00,169,169.0,2024-05-01
经中路-纬一路,2024-05-01 05:00:00,314,314.0,2024-05-01
经中路-纬一路,2024-05-01 06:00:00,571,571.0,2024-05-01
经中路-纬一路,2024-05-01 07:00:00,1018,1018.0,2024-05-01
经中路-纬一路,2024-05-01 08:00:00,1708,1708.0,2024-05-01
经中路-纬一路,2024-05-01 09:00:00,1880,1880.0,2024-05-01
经中路-纬一路,2024-05-01 10:00:00,1945,1945.0,2024-05-01
经中路-纬一路,2024-05-01 11:00:00,1915,1915.0,2024-05-01
经中路-纬一路,2024-05-01 12:00:00,1937,1937.0,2024-05-01
经中路-纬一路,2024-05-01 13:00:00,2062,2062.0,2024-05-01
经中路-纬一路,2024-05-01 14:00:00,1925,1925.0,2024-05-01
经中路-纬一路,2024-05-01 15:00:00,2038,2038.0,2024-05-01
经中路-纬一路,2024-05-01 16:00:00,2097,2097.0,2024-05-01
经中路-纬一路,2024-05-01 17:00:00,2185,2185.0,2024-05-01
经中路-纬一路,2024-05-01 18:00:00,1910,1910.0,2024-05-01
经中路-纬一路,2024-05-01 19:00:00,1796,1796.0,2024-05-01
经中路-纬一路,2024-05-01 20:00:00,1669,1669.0,2024-05-01
经中路-纬一路,2024-05-01 21:00:00,1574,1574.0,2024-05-01
经中路-纬一路,2024-05-01 22:00:00,1187,1187.0,2024-05-01
经中路-纬一路,2024-05-01 23:00:00,781,781.0,2024-05-01
经中路-纬中路,2024-05-01 00:00:00,580,580.0,2024-05-01
经中路-纬中路,2024-05-01 01:00:00,330,330.0,2024-05-01
经中路-纬中路,2024-05-01 02:00:00,242,242.0,2024-05-01
经中路-纬中路,2024-05-01 03:00:00,168,168.0,2024-05-01
经中路-纬中路,2024-05-01 04:00:00,195,195.0,2024-05-01
经中路-纬中路,2024-05-01 05:00:00,385,385.0,2024-05-01
经中路-纬中路,2024-05-01 06:00:00,720,720.0,2024-05-01
经中路-纬中路,2024-05-01 07:00:00,1341,1341.0,2024-05-01
经中路-纬中路,2024-05-01 08:00:00,2214,2214.0,2024-05-01
经中路-纬中路,2024-05-01 09:00:00,2291,2291.0,2024-05-01
经中路-纬中路,2024-05-01 10:00:00,1950,1950.0,2024-05-01
经中路-纬中路,2024-05-01 11:00:00,1900,1900.0,2024-05-01
经中路-纬中路,2024-05-01 12:00:00,2170,2170.0,2024-05-01
经中路-纬中路,2024-05-01 13:00:00,1995,1995.0,2024-05-01
经中路-纬中路,2024-05-01 14:00:00,2144,2144.0,2024-05-01
经中路-纬中路,2024-05-01 15:00:00,2297,2297.0,2024-05-01
经中路-纬中路,2024-05-01 16:00:00,1776,1776.0,2024-05-01
经中路-纬中路,2024-05-01 17:00:00,2018,2018.0,2024-05-01
经中路-纬中路,2024-05-01 18:00:00,2280,2280.0,2024-05-01
经中路-纬中路,2024-05-01 19:00:00,1797,1797.0,2024-05-01
经中路-纬中路,2024-05-01 20:00:00,2380,2380.0,2024-05-01
经中路-纬中路,2024-05-01 21:00:00,2307,2307.0,2024-05-01
经中路-纬中路,2024-05-01 22:00:00,1735,1735.0,2024-05-01
经中路-纬中路,2024-05-01 23:00:00,1079,1079.0,2024-05-01
经二路-纬中路,2024-05-01 00:00:00,294,294.0,2024-05-01
经二路-纬中路,2024-05-01 01:00:00,173,173.0,2024-05-01
经二路-纬中路,2024-05-01 02:00:00,93,93.0,2024-05-01
经二路-纬中路,2024-05-01 03:00:00,62,62.0,2024-05-01
经二路-纬中路,2024-05-01 04:00:00,48,48.0,2024-05-01
经二路-纬中路,2024-05-01 05:00:00,108,108.0,2024-05-01
经二路-纬中路,2024-05-01 06:00:00,234,234.0,2024-05-01
经二路-纬中路,2024-05-01 07:00:00,445,445.0,2024-05-01
经二路-纬中路,2024-05-01 08:00:00,862,862.0,2024-05-01
经二路-纬中路,2024-05-01 09:00:00,1009,1009.0,2024-05-01
经二路-纬中路,2024-05-01 10:00:00,676,676.0,2024-05-01
经二路-纬中路,2024-05-01 11:00:00,917,917.0,2024-05-01
经二路-纬中路,2024-05-01 12:00:00,31,31.0,2024-05-01
经二路-纬中路,2024-05-01 15:00:00,799,799.0,2024-05-01
经二路-纬中路,2024-05-01 16:00:00,1104,1104.0,2024-05-01
经二路-纬中路,2024-05-01 17:00:00,981,981.0,2024-05-01
经二路-纬中路,2024-05-01 18:00:00,1121,1121.0,2024-05-01
经二路-纬中路,2024-05-01 19:00:00,1241,1241.0,2024-05-01
经二路-纬中路,2024-05-01 20:00:00,1174,1174.0,2024-05-01
经二路-纬中路,2024-05-01 21:00:00,1032,1032.0,2024-05-01
经二路-纬中路,2024-05-01 22:00:00,743,743.0,2024-05-01
经二路-纬中路,2024-05-01 23:00:00,425,425.0,2024-05-01
经五路-纬中路,2024-05-01 00:00:00,76,76.0,2024-05-01
经五路-纬中路,2024-05-01 01:00:00,22,22.0,2024-05-01
经五路-纬中路,2024-05-01 02:00:00,17,17.0,2024-05-01
经五路-纬中路,2024-05-01 03:00:00,14,14.0,2024-05-01
经五路-纬中路,2024-05-01 04:00:00,14,14.0,2024-05-01
经五路-纬中路,2024-05-01 05:00:00,46,46.0,2024-05-01
经五路-纬中路,2024-05-01 06:00:00,114,114.0,2024-05-01
经五路-纬中路,2024-05-01 07:00:00,210,210.0,2024-05-01
经五路-纬中路,2024-05-01 08:00:00,434,434.0,2024-05-01
经五路-纬中路,2024-05-01 09:00:00,583,583.0,2024-05-01
经五路-纬中路,2024-05-01 10:00:00,767,767.0,2024-05-01
经五路-纬中路,2024-05-01 11:00:00,140,140.0,2024-05-01
经五路-纬中路,2024-05-01 12:00:00,946,946.0,2024-05-01
经五路-纬中路,2024-05-01 13:00:00,715,715.0,2024-05-01
经五路-纬中路,2024-05-01 14:00:00,865,865.0,2024-05-01
经五路-纬中路,2024-05-01 15:00:00,821,821.0,2024-05-01
经五路-纬中路,2024-05-01 16:00:00,864,864.0,2024-05-01
经五路-纬中路,2024-05-01 17:00:00,666,666.0,2024-05-01
经五路-纬中路,2024-05-01 18:00:00,717,717.0,2024-05-01
经五路-纬中路,2024-05-01 19:00:00,754,754.0,2024-05-01
经五路-纬中路,2024-05-01 20:00:00,607,607.0,2024-05-01
经五路-纬中路,2024-05-01 21:00:00,468,468.0,2024-05-01
经五路-纬中路,2024-05-01 22:00:00,276,276.0,2024-05-01
经五路-纬中路,2024-05-01 23:00:00,179,179.0,2024-05-01
经四路-纬中路,2024-05-01 00:00:00,104,104.0,2024-05-01
经四路-纬中路,2024-05-01 01:00:00,72,72.0,2024-05-01
经四路-纬中路,2024-05-01 02:00:00,54,54.0,2024-05-01
经四路-纬中路,2024-05-01 03:00:00,24,24.0,2024-05-01
经四路-纬中路,2024-05-01 04:00:00,45,45.0,2024-05-01
经四路-纬中路,2024-05-01 05:00:00,91,91.0,2024-05-01
经四路-纬中路,2024-05-01 06:00:00,113,113.0,2024-05-01
经四路-纬中路,2024-05-01 07:00:00,106,106.0,2024-05-01
经四路-纬中路,2024-05-01 08:00:00,100,100.0,2024-05-01
经四路-纬中路,2024-05-01 09:00:00,94,94.0,2024-05-01
经四路-纬中路,2024-05-01 10:00:00,108,108.0,2024-05-01
经四路-纬中路,2024-05-01 11:00:00,126,126.0,2024-05-01
经四路-纬中路,2024-05-01 12:00:00,101,101.0,2024-05-01
经四路-纬中路,2024-05-01 13:00:00,125,125.0,2024-05-01
经四路-纬中路,2024-05-01 14:00:00,73,73.0,2024-05-01
经四路-纬中路,2024-05-01 15:00:00,5,5.0,2024-05-01
经四路-纬中路,2024-05-01 17:00:00,75,75.0,2024-05-01
经四路-纬中路,2024-05-01 18:00:00,77,77.0,2024-05-01
经四路-纬中路,2024-05-01 19:00:00,121,121.0,2024-05-01
经四路-纬中路,2024-05-01 20:00:00,106,106.0,2024-05-01
经四路-纬中路,2024-05-01 21:00:00,105,105.0,2024-05-01
经四路-纬中路,2024-05-01 22:00:00,125,125.0,2024-05-01
经四路-纬中路,2024-05-01 23:00:00,93,93.0,2024-05-01
环东路-纬中路,2024-05-02 16:00:00,107,107.0,2024-05-02
环东路-纬中路,2024-05-02 17:00:00,739,739.0,2024-05-02
环西路-纬中路,2024-05-02 00:00:00,1182,1182.0,2024-05-02
环西路-纬中路,2024-05-02 01:00:00,617,617.0,2024-05-02
环西路-纬中路,2024-05-02 02:00:00,293,293.0,2024-05-02
环西路-纬中路,2024-05-02 03:00:00,241,241.0,2024-05-02
环西路-纬中路,2024-05-02 04:00:00,224,224.0,2024-05-02
环西路-纬中路,2024-05-02 05:00:00,467,467.0,2024-05-02
环西路-纬中路,2024-05-02 06:00:00,1099,1099.0,2024-05-02
环西路-纬中路,2024-05-02 07:00:00,2249,2249.0,2024-05-02
环西路-纬中路,2024-05-02 08:00:00,2881,2881.0,2024-05-02
环西路-纬中路,2024-05-02 09:00:00,3881,3881.0,2024-05-02
环西路-纬中路,2024-05-02 10:00:00,4287,4287.0,2024-05-02
环西路-纬中路,2024-05-02 11:00:00,4512,4512.0,2024-05-02
环西路-纬中路,2024-05-02 12:00:00,4729,4729.0,2024-05-02
环西路-纬中路,2024-05-02 13:00:00,4252,4252.0,2024-05-02
环西路-纬中路,2024-05-02 14:00:00,3179,3179.0,2024-05-02
环西路-纬中路,2024-05-02 15:00:00,3854,3854.0,2024-05-02
环西路-纬中路,2024-05-02 16:00:00,5171,5171.0,2024-05-02
环西路-纬中路,2024-05-02 17:00:00,3770,3770.0,2024-05-02
环西路-纬中路,2024-05-02 18:00:00,4257,4257.0,2024-05-02
环西路-纬中路,2024-05-02 19:00:00,4430,4430.0,2024-05-02
环西路-纬中路,2024-05-02 20:00:00,3924,3924.0,2024-05-02
环西路-纬中路,2024-05-02 21:00:00,3349,3349.0,2024-05-02
环西路-纬中路,2024-05-02 22:00:00,2260,2260.0,2024-05-02
环西路-纬中路,2024-05-02 23:00:00,1595,1595.0,2024-05-02
纬中路-景区出入口,2024-05-02 00:00:00,296,296.0,2024-05-02
纬中路-景区出入口,2024-05-02 01:00:00,164,164.0,2024-05-02
纬中路-景区出入口,2024-05-02 02:00:00,78,78.0,2024-05-02
纬中路-景区出入口,2024-05-02 03:00:00,38,38.0,2024-05-02
纬中路-景区出入口,2024-05-02 04:00:00,58,58.0,2024-05-02
纬中路-景区出入口,2024-05-02 05:00:00,127,127.0,2024-05-02
纬中路-景区出入口,2024-05-02 06:00:00,356,356.0,2024-05-02
纬中路-景区出入口,2024-05-02 07:00:00,774,774.0,2024-05-02
纬中路-景区出入口,2024-05-02 08:00:00,1174,1174.0,2024-05-02
纬中路-景区出入口,2024-05-02 09:00:00,1091,1091.0,2024-05-02
纬中路-景区出入口,2024-05-02 10:00:00,946,946.0,2024-05-02
纬中路-景区出入口,2024-05-02 11:00:00,1208,1208.0,2024-05-02
纬中路-景区出入口,2024-05-02 12:00:00,1570,1570.0,2024-05-02
纬中路-景区出入口,2024-05-02 13:00:00,1509,1509.0,2024-05-02
纬中路-景区出入口,2024-05-02 14:00:00,1345,1345.0,2024-05-02
纬中路-景区出入口,2024-05-02 15:00:00,1439,1439.0,2024-05-02
纬中路-景区出入口,2024-05-02 16:00:00,1479,1479.0,2024-05-02
纬中路-景区出入口,2024-05-02 17:00:00,1722,1722.0,2024-05-02
纬中路-景区出入口,2024-05-02 18:00:00,1589,1589.0,2024-05-02
纬中路-景区出入口,2024-05-02 19:00:00,1629,1629.0,2024-05-02
纬中路-景区出入口,2024-05-02 20:00:00,1471,1471.0,2024-05-02
纬中路-景区出入口,2024-05-02 21:00:00,1173,1173.0,2024-05-02
纬中路-景区出入口,2024-05-02 22:00:00,796,796.0,2024-05-02
纬中路-景区出入口,2024-05-02 23:00:00,536,536.0,2024-05-02
经一路-纬中路,2024-05-02 00:00:00,601,601.0,2024-05-02
经一路-纬中路,2024-05-02 01:00:00,301,301.0,2024-05-02
经一路-纬中路,2024-05-02 02:00:00,152,152.0,2024-05-02
经一路-纬中路,2024-05-02 03:00:00,111,111.0,2024-05-02
经一路-纬中路,2024-05-02 04:00:00,121,121.0,2024-05-02
经一路-纬中路,2024-05-02 05:00:00,140,140.0,2024-05-02
经一路-纬中路,2024-05-02 06:00:00,425,425.0,2024-05-02
经一路-纬中路,2024-05-02 07:00:00,963,963.0,2024-05-02
经一路-纬中路,2024-05-02 08:00:00,1472,1472.0,2024-05-02
经一路-纬中路,2024-05-02 09:00:00,1602,1602.0,2024-05-02
经一路-纬中路,2024-05-02 10:00:00,1855,1855.0,2024-05-02
经一路-纬中路,2024-05-02 11:00:00,2016,2016.0,2024-05-02
经一路-纬中路,2024-05-02 12:00:00,694,694.0,2024-05-02
经一路-纬中路,2024-05-02 13:00:00,940,940.0,2024-05-02
经一路-纬中路,2024-05-02 14:00:00,1475,1475.0,2024-05-02
经一路-纬中路,2024-05-02 15:00:00,1948,1948.0,2024-05-02
经一路-纬中路,2024-05-02 16:00:00,1855,1855.0,2024-05-02
经一路-纬中路,2024-05-02 17:00:00,2016,2016.0,2024-05-02
经一路-纬中路,2024-05-02 18:00:00,1830,1830.0,2024-05-02
经一路-纬中路,2024-05-02 19:00:00,1906,1906.0,2024-05-02
经一路-纬中路,2024-05-02 20:00:00,1619,1619.0,2024-05-02
经一路-纬中路,2024-05-02 21:00:00,1309,1309.0,2024-05-02
经一路-纬中路,2024-05-02 22:00:00,949,949.0,2024-05-02
经一路-纬中路,2024-05-02 23:00:00,745,745.0,2024-05-02
经三路-纬中路,2024-05-02 00:00:00,421,421.0,2024-05-02
经三路-纬中路,2024-05-02 01:00:00,220,220.0,2024-05-02
经三路-纬中路,2024-05-02 02:00:00,97,97.0,2024-05-02
经三路-纬中路,2024-05-02 03:00:00,71,71.0,2024-05-02
经三路-纬中路,2024-05-02 04:00:00,81,81.0,2024-05-02
经三路-纬中路,2024-05-02 05:00:00,156,156.0,2024-05-02
经三路-纬中路,2024-05-02 06:00:00,410,410.0,2024-05-02
经三路-纬中路,2024-05-02 07:00:00,865,865.0,2024-05-02
经三路-纬中路,2024-05-02 08:00:00,1287,1287.0,2024-05-02
经三路-纬中路,2024-05-02 09:00:00,1604,1604.0,2024-05-02
经三路-纬中路,2024-05-02 10:00:00,1644,1644.0,2024-05-02
经三路-纬中路,2024-05-02 11:00:00,1647,1647.0,2024-05-02
经三路-纬中路,2024-05-02 12:00:00,1843,1843.0,2024-05-02
经三路-纬中路,2024-05-02 13:00:00,1151,1151.0,2024-05-02
经三路-纬中路,2024-05-02 14:00:00,1362,1362.0,2024-05-02
经三路-纬中路,2024-05-02 15:00:00,1706,1706.0,2024-05-02
经三路-纬中路,2024-05-02 16:00:00,1891,1891.0,2024-05-02
经三路-纬中路,2024-05-02 17:00:00,1717,1717.0,2024-05-02
经三路-纬中路,2024-05-02 18:00:00,1482,1482.0,2024-05-02
经三路-纬中路,2024-05-02 19:00:00,1608,1608.0,2024-05-02
经三路-纬中路,2024-05-02 20:00:00,1296,1296.0,2024-05-02
经三路-纬中路,2024-05-02 21:00:00,1153,1153.0,2024-05-02
经三路-纬中路,2024-05-02 22:00:00,798,798.0,2024-05-02
经三路-纬中路,2024-05-02 23:00:00,571,571.0,2024-05-02
经中路-环北路,2024-05-02 00:00:00,317,317.0,2024-05-02
经中路-环北路,2024-05-02 01:00:00,179,179.0,2024-05-02
经中路-环北路,2024-05-02 02:00:00,110,110.0,2024-05-02
经中路-环北路,2024-05-02 03:00:00,93,93.0,2024-05-02
经中路-环北路,2024-05-02 04:00:00,92,92.0,2024-05-02
经中路-环北路,2024-05-02 05:00:00,286,286.0,2024-05-02
经中路-环北路,2024-05-02 06:00:00,570,570.0,2024-05-02
经中路-环北路,2024-05-02 07:00:00,1093,1093.0,2024-05-02
经中路-环北路,2024-05-02 08:00:00,1451,1451.0,2024-05-02
经中路-环北路,2024-05-02 09:00:00,1626,1626.0,2024-05-02
经中路-环北路,2024-05-02 10:00:00,1925,1925.0,2024-05-02
经中路-环北路,2024-05-02 11:00:00,1899,1899.0,2024-05-02
经中路-环北路,2024-05-02 12:00:00,1727,1727.0,2024-05-02
经中路-环北路,2024-05-02 13:00:00,1948,1948.0,2024-05-02
经中路-环北路,2024-05-02 14:00:00,1942,1942.0,2024-05-02
经中路-环北路,2024-05-02 15:00:00,1957,1957.0,2024-05-02
经中路-环北路,2024-05-02 16:00:00,2059,2059.0,2024-05-02
经中路-环北路,2024-05-02 17:00:00,2090,2090.0,2024-05-02
经中路-环北路,2024-05-02 18:00:00,1678,1678.0,2024-05-02
经中路-环北路,2024-05-02 19:00:00,1679,1679.0,2024-05-02
经中路-环北路,2024-05-02 20:00:00,1600,1600.0,2024-05-02
经中路-环北路,2024-05-02 21:00:00,1291,1291.0,2024-05-02
经中路-环北路,2024-05-02 22:00:00,834,834.0,2024-05-02
经中路-环北路,2024-05-02 23:00:00,465,465.0,2024-05-02
经中路-环南路,2024-05-02 00:00:00,443,443.0,2024-05-02
经中路-环南路,2024-05-02 01:00:00,232,232.0,2024-05-02
经中路-环南路,2024-05-02 02:00:00,164,164.0,2024-05-02
经中路-环南路,2024-05-02 03:00:00,120,120.0,2024-05-02
经中路-环南路,2024-05-02 04:00:00,152,152.0,2024-05-02
经中路-环南路,2024-05-02 05:00:00,363,363.0,2024-05-02
经中路-环南路,2024-05-02 06:00:00,803,803.0,2024-05-02
经中路-环南路,2024-05-02 07:00:00,1390,1390.0,2024-05-02
经中路-环南路,2024-05-02 08:00:00,2104,2104.0,2024-05-02
